CustomerID,Recency,Frequency,Monetary,Frequency_log,Monetary_log,Cluster,Segment
12346,326,12,971.9,2.5649493574615367,6.880281301981382,3,Potential Loyalists
12347,2,8,4921.53,2.1972245773362196,8.501577904958904,2,Loyal Customers
12348,75,5,2019.4,1.791759469228055,7.6110507905938976,2,Loyal Customers
12349,19,4,4428.69,1.6094379124341003,8.39608488316401,2,Loyal Customers
12350,310,1,334.4,0.6931471805599453,5.815323849389109,4,Needs Attention
12351,375,1,300.93,0.6931471805599453,5.710195202428391,4,Needs Attention
12352,36,10,2849.84,2.3978952727983707,7.9553689666784315,2,Loyal Customers
12353,204,2,406.76,1.0986122886681098,6.010678766031786,1,At Risk
12354,232,1,1079.4,0.6931471805599453,6.985086621918461,1,At Risk
12355,214,2,947.61,1.0986122886681098,6.854997755239065,1,At Risk
12356,23,6,6371.73,1.9459101490553132,8.759783228184276,2,Loyal Customers
12357,33,3,18287.66,1.3862943611198906,9.814036474622236,2,Loyal Customers
12358,2,5,3887.07,1.791759469228055,8.265668169533484,2,Loyal Customers
12359,58,10,8873.39,2.3978952727983707,9.090924879587071,0,Champions
12360,52,8,4252.89,2.1972245773362196,8.355589137409874,2,Loyal Customers
12361,287,4,511.25,1.6094379124341003,6.238812787119009,3,Potential Loyalists
12362,3,11,5356.23,2.4849066497880004,8.586202329437555,0,Champions
12363,110,2,552.0,1.0986122886681098,6.315358001522335,1,At Risk
12364,8,4,1313.1,1.6094379124341003,7.180907299649593,2,Loyal Customers
12365,291,2,641.38,1.0986122886681098,6.465180028897591,3,Potential Loyalists
12366,634,1,500.24,0.6931471805599453,6.217085028297085,4,Needs Attention
12367,4,1,168.9,0.6931471805599453,5.135210028677887,1,At Risk
12368,628,1,917.6999999999999,0.6931471805599453,6.822959627277421,4,Needs Attention
12369,413,3,1791.15,1.3862943611198906,7.491171295388921,3,Potential Loyalists
12370,51,7,4316.56,2.0794415416798357,8.370445706855367,2,Loyal Customers
12371,45,5,4067.38,1.791759469228055,8.31100016480189,2,Loyal Customers
12372,72,3,1298.04,1.3862943611198906,7.169380809114136,2,Loyal Customers
12373,311,3,1127.65,1.3862943611198906,7.028777507229587,3,Potential Loyalists
12374,25,4,2989.2200000000003,1.6094379124341003,8.003102242273277,2,Loyal Customers
12375,11,2,457.5,1.0986122886681098,6.127960291696519,1,At Risk
12376,390,2,503.15,1.0986122886681098,6.222873842839224,3,Potential Loyalists
12377,315,4,3426.32,1.6094379124341003,8.139533893646055,3,Potential Loyalists
12378,130,2,5416.32,1.0986122886681098,8.597356507200939,2,Loyal Customers
12379,82,4,1620.22,1.6094379124341003,7.390934231218893,2,Loyal Customers
12380,22,11,9676.300000000001,2.4849066497880004,9.177538215743802,0,Champions
12381,5,5,1845.31,1.791759469228055,7.520944331624911,2,Loyal Customers
12383,185,5,1850.56,1.791759469228055,7.523783805985769,2,Loyal Customers
12384,29,2,585.27,1.0986122886681098,6.373780434317173,1,At Risk
12385,379,1,1938.4,0.6931471805599453,7.570133925870446,3,Potential Loyalists
12386,338,2,401.9,1.0986122886681098,5.998688392197302,3,Potential Loyalists
12387,415,1,143.94,0.6931471805599453,4.976319863681136,4,Needs Attention
12388,16,8,3901.11,2.1972245773362196,8.269272711457157,2,Loyal Customers
12389,403,3,1433.33,1.3862943611198906,7.268453120207762,3,Potential Loyalists
12390,80,1,549.84,0.6931471805599453,6.311444385858925,1,At Risk
12391,22,6,2724.84,1.9459101490553132,7.910531916476688,2,Loyal Customers
12392,591,1,234.75000000000003,0.6931471805599453,5.462771921513567,4,Needs Attention
12393,72,6,2399.4500000000003,1.9459101490553132,7.783411498760109,2,Loyal Customers
12394,64,2,1272.48,1.0986122886681098,7.149508589545504,1,At Risk
12395,19,15,4721.17,2.772588722239781,8.46002371869161,0,Champions
12396,674,1,931.43,0.6931471805599453,6.837794081676172,4,Needs Attention
12397,36,2,2409.9,1.0986122886681098,7.7877554007552545,2,Loyal Customers
12398,46,1,1635.6599999999999,0.6931471805599453,7.4004128587924045,1,At Risk
12399,119,7,1962.3,2.0794415416798357,7.582382009904704,2,Loyal Customers
12400,414,1,205.25,0.6931471805599453,5.32908902521479,4,Needs Attention
12401,303,1,84.3,0.6931471805599453,4.446174454497633,4,Needs Attention
12402,323,6,1256.9,1.9459101490553132,7.137198942844827,3,Potential Loyalists
12403,50,2,1019.36,1.0986122886681098,6.927910785185701,1,At Risk
12404,682,1,63.24,0.6931471805599453,4.162626069638506,4,Needs Attention
12405,149,1,1710.39,0.6931471805599453,7.445061184797548,1,At Risk
12406,22,5,6390.36,1.791759469228055,8.762702357276806,2,Loyal Customers
12407,50,5,1708.1200000000001,1.791759469228055,7.4437338971514055,2,Loyal Customers
12408,33,8,4340.7699999999995,2.1972245773362196,8.37603737805411,2,Loyal Customers
12409,79,7,23419.29,2.0794415416798357,10.061358019654037,0,Champions
12410,309,3,1013.71,1.3862943611198906,6.9223581363660704,3,Potential Loyalists
12411,410,1,346.9,0.6931471805599453,5.8519150821578965,4,Needs Attention
12412,75,6,2596.93,1.9459101490553132,7.862470253064629,2,Loyal Customers
12413,67,4,999.45,1.6094379124341003,6.908205177762502,2,Loyal Customers
12414,217,6,952.41,1.9459101490553132,6.860045031492727,2,Loyal Customers
12415,24,28,143284.29,3.367295829986474,11.872592956767726,0,Champions
12416,657,1,202.56,0.6931471805599453,5.315960801720632,4,Needs Attention
